Row,AnonStudentId,First Attempt,KC (Default),Incorrects,Hints,Corrects,Opportunity
1,Stu_1,correct,KC12,1,14,1,10
2,Stu_1,unknown,,1,14,1,1
3,Stu_1,unknown,KC8,1,9,0,2
4,Stu_1,unknown,KC9,5,8,1,
5,Stu_1,correct,KC10,1,8,1,4
6,Stu_1,unknown,KC5,1,7,1,
7,Stu_1,correct,KC11,0,7,1,8
8,Stu_1,correct,KC17,0,6,1,11
9,Stu_1,correct,,8,5,1,1
10,Stu_1,correct,,6,5,1,
11,Stu_1,incorrect,KC14,3,5,1,12
12,Stu_1,unknown,KC4,3,5,1,2
13,Stu_1,correct,,1,5,1,16
14,Stu_1,correct,KC18,1,5,1,7
15,Stu_1,correct,KC8,1,5,1,6
16,Stu_1,correct,KC15,1,5,1,4
17,Stu_1,correct,,1,5,1,3
18,Stu_1,correct,KC9,1,5,1,3
19,Stu_1,correct,,1,5,1,3
20,Stu_1,incorrect,KC10,1,5,1,2
21,Stu_1,unknown,KC9,1,5,1,1
22,Stu_1,incorrect,KC10,1,5,1,1
23,Stu_1,unknown,,1,5,1,
24,Stu_1,correct,,0,5,1,4
25,Stu_1,correct,KC17,0,5,1,
26,Stu_1,correct,,3,4,1,10
27,Stu_1,correct,KC15,3,4,1,4
28,Stu_1,unknown,KC4,2,4,1,
29,Stu_1,unknown,KC4,1,4,1,20
30,Stu_1,incorrect,KC10,1,4,1,15
31,Stu_1,correct,,1,4,1,10
32,Stu_1,correct,KC11,1,4,1,5
33,Stu_1,unknown,KC4,1,4,1,5
34,Stu_1,unknown,KC9,1,4,1,4
35,Stu_1,correct,KC20,1,4,1,2
36,Stu_1,correct,,1,4,1,2
37,Stu_1,correct,KC6,1,4,1,
38,Stu_1,incorrect,KC1,1,4,1,
39,Stu_1,unknown,KC8,1,4,1,
40,Stu_1,hint,KC3,0,4,1,19
41,Stu_1,unknown,KC5,0,4,1,18
42,Stu_1,correct,KC3,0,4,1,18
43,Stu_1,correct,KC1,0,4,1,15
44,Stu_1,correct,,0,4,1,13
45,Stu_1,correct,,0,4,1,12
46,Stu_1,unknown,KC9,0,4,1,12
47,Stu_1,incorrect,KC7,0,4,1,12
48,Stu_1,unknown,KC8,0,4,1,12
49,Stu_1,incorrect,KC3,0,4,1,9
50,Stu_1,correct,KC11,0,4,1,9
51,Stu_1,correct,KC10,0,4,1,9
52,Stu_1,correct,,0,4,1,8
53,Stu_1,correct,KC11,0,4,1,6
54,Stu_1,incorrect,KC15,0,4,1,6
55,Stu_1,correct,,0,4,1,5
56,Stu_1,incorrect,KC17,0,4,1,5
57,Stu_1,correct,,0,4,1,4
58,Stu_1,correct,KC11,0,4,1,4
59,Stu_1,correct,,0,4,1,4
60,Stu_1,correct,,0,4,1,4
61,Stu_1,incorrect,KC2,0,4,1,3
62,Stu_1,incorrect,KC20,0,4,1,3
63,Stu_1,correct,KC2,0,4,1,2
64,Stu_1,correct,KC15,0,4,1,2
65,Stu_1,correct,KC8,0,4,1,2
66,Stu_1,incorrect,KC17,0,4,1,2
67,Stu_1,incorrect,KC20,0,4,1,2
68,Stu_1,correct,KC3,0,4,1,2
69,Stu_1,unknown,KC8,0,4,1,1
70,Stu_1,incorrect,KC6,0,4,1,1
71,Stu_1,hint,KC17,0,4,1,1
72,Stu_1,unknown,KC8,0,4,1,1
73,Stu_1,unknown,KC5,0,4,1,1
74,Stu_1,correct,,0,4,1,1
75,Stu_1,correct,KC12,0,4,1,1
76,Stu_1,correct,,0,4,1,1
77,Stu_1,unknown,KC5,0,4,1,
78,Stu_1,correct,,0,4,1,
79,Stu_1,unknown,KC9,0,4,1,
80,Stu_1,correct,KC11,0,4,1,
81,Stu_1,correct,KC2,0,4,1,
82,Stu_1,unknown,,0,4,1,
83,Stu_1,correct,KC18,0,4,1,
84,Stu_1,correct,,0,4,1,
85,Stu_1,correct,KC19,0,4,1,
86,Stu_1,unknown,KC9,0,4,1,
87,Stu_1,unknown,KC5,0,4,1,
88,Stu_1,correct,KC3,33,3,1,3
89,Stu_1,incorrect,KC12,6,3,1,2
90,Stu_1,unknown,KC8,6,3,1,
91,Stu_1,correct,KC3,4,3,1,3
92,Stu_1,incorrect,KC18,4,3,1,2
93,Stu_1,correct,,3,3,1,7
94,Stu_1,unknown,KC9,3,3,1,1
95,Stu_1,incorrect,KC18,2,3,1,
96,Stu_1,unknown,KC9,1,3,1,14
97,Stu_1,correct,,1,3,1,10
98,Stu_1,correct,,1,3,1,9
99,Stu_1,correct,KC16,1,3,1,8
100,Stu_1,unknown,KC9,1,3,1,4
101,Stu_1,correct,KC12,1,3,1,4
102,Stu_1,correct,KC18,0,3,1,29
103,Stu_1,correct,,0,3,1,21
104,Stu_1,unknown,,0,3,1,19
105,Stu_1,unknown,KC9,0,3,1,9
106,Stu_1,unknown,KC9,0,3,1,9
107,Stu_1,correct,,0,3,1,7
108,Stu_1,correct,KC14,0,3,1,7
109,Stu_1,unknown,KC9,0,3,1,7
110,Stu_1,unknown,KC9,0,3,1,6
111,Stu_1,correct,KC3,0,3,1,6
112,Stu_1,correct,KC20,0,3,1,6
113,Stu_1,correct,KC20,0,3,1,5
114,Stu_1,unknown,KC4,0,3,1,4
115,Stu_1,unknown,KC5,0,3,1,4
116,Stu_1,correct,KC14,0,3,1,3
117,Stu_1,incorrect,KC3,0,3,1,2
118,Stu_1,unknown,KC9,0,3,1,2
119,Stu_1,correct,KC12,0,3,1,1
120,Stu_1,correct,,0,3,1,1
121,Stu_1,correct,KC16,0,3,1,
122,Stu_1,unknown,KC8,0,3,1,
123,Stu_1,correct,,0,3,1,
124,Stu_1,unknown,KC9,0,3,1,
125,Stu_1,unknown,KC4,0,3,1,
126,Stu_1,correct,,0,3,1,
127,Stu_1,correct,,0,3,1,
128,Stu_1,unknown,KC9,0,3,1,
129,Stu_1,correct,,0,3,1,
130,Stu_1,unknown,KC9,0,3,1,
131,Stu_1,incorrect,KC16,0,3,1,
132,Stu_1,correct,KC10,41,2,1,7
133,Stu_1,correct,KC2,4,2,1,23
134,Stu_1,incorrect,KC16,3,2,1,3
135,Stu_1,unknown,KC9,3,2,1,
136,Stu_1,unknown,KC9,2,2,1,7
137,Stu_1,unknown,KC4,2,2,1,3
138,Stu_1,correct,,1,2,1,26
139,Stu_1,unknown,KC9,1,2,1,14
140,Stu_1,correct,KC18,1,2,1,7
141,Stu_1,correct,KC5,1,2,1,6
142,Stu_1,unknown,KC4,1,2,1,2
143,Stu_1,unknown,KC9,0,2,1,20
144,Stu_1,unknown,KC9,0,2,1,19
145,Stu_1,correct,,0,2,1,13
146,Stu_1,correct,KC10,0,2,1,8
147,Stu_1,correct,KC16,0,2,1,3
148,Stu_1,incorrect,KC19,0,2,1,2
149,Stu_1,unknown,KC5,0,2,1,
150,Stu_1,correct,KC13,14,1,1,3
151,Stu_1,correct,KC16,6,1,1,13
152,Stu_1,correct,KC4,3,1,1,8
153,Stu_1,incorrect,KC20,3,1,1,
154,Stu_1,correct,KC11,3,1,1,
155,Stu_1,correct,,2,1,1,28
156,Stu_1,correct,KC12,2,1,1,15
157,Stu_1,unknown,KC4,2,1,1,7
158,Stu_1,correct,KC7,2,1,1,
159,Stu_1,unknown,KC4,2,1,1,
160,Stu_1,unknown,KC8,2,1,1,
161,Stu_1,unknown,KC5,1,1,1,15
162,Stu_1,correct,,1,1,1,10
163,Stu_1,correct,KC3,1,1,1,
164,Stu_1,correct,KC13,0,1,0,
165,Stu_1,correct,KC17,0,1,1,19
166,Stu_1,correct,,0,1,1,16
167,Stu_1,correct,KC10,0,1,1,10
168,Stu_1,hint,KC15,0,1,1,10
169,Stu_1,correct,KC11,0,1,1,9
170,Stu_1,correct,,0,1,1,9
171,Stu_1,correct,KC15,0,1,1,8
172,Stu_1,unknown,KC9,0,1,1,8
173,Stu_1,correct,KC2,0,1,1,7
174,Stu_1,correct,KC4,0,1,1,7
175,Stu_1,correct,KC3,0,1,1,5
176,Stu_1,correct,,0,1,1,5
177,Stu_1,correct,KC4,0,1,1,3
178,Stu_1,correct,KC20,0,1,1,3
179,Stu_1,correct,KC11,0,1,1,2
180,Stu_1,correct,,0,1,1,2
181,Stu_1,incorrect,KC6,0,1,1,2
182,Stu_1,correct,,0,1,1,1
183,Stu_1,unknown,KC8,0,1,1,
184,Stu_1,unknown,KC4,0,1,1,
185,Stu_1,correct,,0,1,1,
186,Stu_1,unknown,KC5,36,0,1,10
187,Stu_1,correct,KC12,25,0,1,3
188,Stu_1,correct,,22,0,1,24
189,Stu_1,incorrect,KC4,21,0,1,1
190,Stu_1,hint,KC19,16,0,1,7
191,Stu_1,incorrect,KC12,12,0,1,13
192,Stu_1,incorrect,KC16,11,0,1,8
193,Stu_1,correct,,10,0,1,16
194,Stu_1,correct,KC12,10,0,1,1
195,Stu_1,unknown,KC4,9,0,1,27
196,Stu_1,incorrect,KC18,9,0,1,25
197,Stu_1,unknown,KC9,9,0,1,20
198,Stu_10,correct,KC16,9,0,1,7
199,Stu_10,incorrect,KC2,9,0,1,6
200,Stu_10,correct,,9,0,1,5
201,Stu_10,correct,,8,0,1,4
202,Stu_10,unknown,KC9,8,0,1,
203,Stu_10,correct,,7,0,0,12
204,Stu_10,correct,,7,0,1,26
205,Stu_10,hint,KC20,7,0,1,9
206,Stu_10,correct,KC10,7,0,1,8
207,Stu_10,unknown,KC5,7,0,1,3
208,Stu_10,incorrect,KC4,7,0,1,
209,Stu_10,incorrect,KC6,6,0,1,12
210,Stu_10,unknown,KC5,6,0,1,8
211,Stu_10,correct,,6,0,1,6
212,Stu_10,correct,KC3,6,0,1,5
213,Stu_10,unknown,KC4,6,0,1,4
